Date,Probe,jet_detection,x_gsm,y_gsm,z_gsm,r_spc,jet_time,ind_min_msp,ind_max_msp,ind_min_msh,ind_max_msh,ind_jet_center,angle_b_lmn_vec_msp_msh_median,b_lmn_vec_msp_mean_n,b_lmn_vec_msp_mean_m,b_lmn_vec_msp_mean_l,b_lmn_vec_msp_median_n,b_lmn_vec_msp_median_m,b_lmn_vec_msp_median_l,b_lmn_vec_msh_mean_n,b_lmn_vec_msh_mean_m,b_lmn_vec_msh_mean_l,b_lmn_vec_msh_median_n,b_lmn_vec_msh_median_m,b_lmn_vec_msh_median_l,np_msp_median,np_msp_mean,np_msh_median,np_msh_mean,vp_lmn_vec_msp_mean_n,vp_lmn_vec_msp_mean_m,vp_lmn_vec_msp_mean_l,vp_lmn_vec_msp_median_n,vp_lmn_vec_msp_median_m,vp_lmn_vec_msp_median_l,vp_lmn_vec_msh_mean_n,vp_lmn_vec_msh_mean_m,vp_lmn_vec_msh_mean_l,vp_lmn_vec_msh_median_n,vp_lmn_vec_msh_median_m,vp_lmn_vec_msh_median_l,tp_para_msp_median,tp_para_msh_median,tp_para_msp_mean,tp_para_msh_mean,tp_perp_msp_median,tp_perp_msh_median,tp_perp_msp_mean,tp_perp_msh_mean,beta_msh_mean,beta_msp_mean
2015-09-02 16:45:00+00:00,3,True,1.6490000486373901,10.847999572753906,-4.78000020980835,11.854000091552734,2015-09-02 16:47:33.709315896+00:00,407,439,3003,3035,2464,23.681,3.302,-1.018,28.416,3.422,-1.106,28.448,4.77,-16.203,33.092,4.77,-16.203,33.092,4.285999774932861,4.269000053405762,27.94300079345703,27.517000198364258,63.765,90.978,16.278,63.483,90.822,16.944,8.184,-286.063,-150.435,8.404,-284.613,-153.243,19652722.0,2680838.75,19664522.0,2739270.5,21195928.0,2798625.0,21182176.0,2832354.25,1.945,3.647,
2015-09-02 17:05:00+00:00,3,True,1.468999981880188,10.928000450134277,-4.644000053405762,11.87399959564209,2015-09-02 17:05:05.216631531+00:00,1760,1792,1286,1318,2034,59.495,2.807,2.071,37.6,2.918,1.529,37.148,3.061,-22.744,14.541,3.061,-22.744,14.541,4.060999870300293,4.1020002365112305,45.66600036621094,45.4739990234375,15.543,23.827,-6.727,26.181,22.716,-5.657,19.113,-230.3,-83.732,18.612,-228.6,-84.454,18925264.0,1826222.125,18385034.0,1835276.125,24194586.0,2033815.625,23933822.0,2064745.5,4.07,2.02,
2015-09-02 17:25:00+00:00,3,True,1.2860000133514404,10.993000030517578,-4.501999855041504,11.878999710083008,2015-09-02 17:27:10.625845432+00:00,2582,2614,1485,1517,2870,47.373,4.325,-2.47,40.493,4.607,-2.364,40.196,2.291,-12.045,9.707,2.291,-12.045,9.707,1.7879999876022339,1.7690000534057617,39.66699981689453,37.21900177001953,13.312,-30.117,-34.572,3.254,-34.007,-35.557,33.726,-271.176,-84.715,35.776,-272.481,-74.84,41804908.0,2955985.75,41915344.0,3026297.25,46631136.0,2804347.0,47148024.0,2818939.5,13.048,1.61,
2015-09-02 16:50:00+00:00,3,True,1.6039999723434448,10.869000434875488,-4.747000217437744,11.859999656677246,2015-09-02 16:47:33.709315896+00:00,2250,2282,3150,3182,1024,46.76,1.375,6.984,39.244,1.053,7.495,39.287,-7.152,-12.867,19.935,-7.152,-12.867,19.935,2.950000047683716,3.134000062942505,39.25699996948242,39.926998138427734,17.505,-101.625,-61.451,16.144,-94.952,-61.347,11.434,-224.795,-67.117,12.095,-224.371,-66.956,20783142.0,2023361.125,21337354.0,2027135.375,24590340.0,2579082.75,24606374.0,2550883.0,5.077,1.533,
2015-09-03 14:35:00+00:00,3,True,2.881999969482422,9.97700023651123,-5.415999889373779,11.352999687194824,2015-09-03 14:38:55.781389117+00:00,2201,2233,3549,3581,3572,36.077,3.792,-6.445,37.401,4.189,-6.099,37.394,16.539,-24.969,27.669,16.539,-24.969,27.669,1.0889999866485596,1.0850000381469727,16.54400062561035,17.091999053955078,-33.025,-65.895,-28.476,-40.374,-72.335,-29.95,19.377,-229.779,-91.281,18.292,-235.214,-86.388,39848040.0,5003298.0,40361976.0,4904030.5,54913872.0,3918223.0,55605512.0,3851810.25,1.663,1.176,
2015-09-03 14:45:00+00:00,3,True,2.8010001182556152,10.057999610900879,-5.39300012588501,11.413000106811523,2015-09-03 14:40:27.582004070+00:00,637,669,922,954,183,35.861,3.667,-5.883,40.477,4.033,-6.143,40.077,16.298,-26.314,29.634,16.298,-26.314,29.634,3.9630000591278076,3.934999942779541,22.170000076293945,21.702999114990234,30.935,-66.482,-11.273,36.656,-67.386,-12.675,17.925,-213.38,-182.589,19.71,-212.492,-185.296,9919999.0,3108058.0,10003291.0,3170962.0,14870552.0,2989125.75,14989309.0,3127676.75,1.318,0.944,
2015-09-03 15:15:00+00:00,3,True,2.553999900817871,10.286999702453613,-5.296000003814697,11.569999694824219,2015-09-03 15:12:14.919904828+00:00,492,524,1968,2000,899,30.921,2.608,-2.75,36.246,2.67,-2.535,36.297,4.132,-17.095,24.525,4.132,-17.095,24.525,1.190999984741211,1.1970000267028809,24.30699920654297,24.604000091552734,-11.06,21.146,-21.345,-15.098,22.25,-21.143,-5.031,-293.511,-263.943,-2.906,-293.83,-265.871,50146192.0,3086097.25,50154732.0,3122076.75,56173072.0,3163687.25,56494360.0,3160842.25,3.097,1.635,
2015-09-07 13:55:00+00:00,3,True,3.678999900817871,9.550000190734863,-5.578000068664551,11.059000015258789,2015-09-07 13:58:32.387494087+00:00,2176,2208,1064,1096,2148,59.784,6.02,-8.679,39.647,7.15,-8.179,39.691,8.424,39.955,34.663,8.424,39.955,34.663,2.7739999294281006,3.066999912261963,15.394000053405762,16.71500015258789,27.222,-216.057,-0.428,24.879,-200.146,-13.876,-27.416,-199.813,-116.554,-33.262,-157.791,-97.769,24117890.0,4699522.5,24104590.0,4765631.0,29120500.0,4898083.5,28340086.0,4839631.0,1.227,1.613,
2015-09-07 14:25:00+00:00,3,True,3.450000047683716,9.798999786376953,-5.544000148773193,11.258000373840332,2015-09-07 14:20:29.396533132+00:00,239,271,1039,1071,196,35.38,10.308,-28.958,5.437,10.458,-29.247,5.368,6.206,-45.538,-20.08,6.206,-45.538,-20.08,2.3380000591278076,2.364000082015991,10.541000366210938,10.736000061035156,-25.562,-317.804,-151.613,-24.362,-319.052,-157.07,-5.754,-276.154,14.105,-5.675,-275.705,13.079,22626860.0,1104451.875,22501126.0,1101871.25,20093424.0,2510908.25,20150698.0,2505837.75,0.232,1.829,
2015-09-07 14:35:00+00:00,3,True,3.371999979019165,9.878000259399414,-5.5229997634887695,11.317000389099121,2015-09-07 14:20:29.396533132+00:00,258,290,1479,1511,636,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.1010000705718994,2.058000087738037,10.541000366210938,10.736000061035156,-69.905,38.992,-10.931,-64.852,38.862,-10.926,-5.754,-276.154,14.105,-5.675,-275.705,13.079,31456338.0,1104451.875,31272814.0,1101871.25,29616890.0,2510908.25,29433906.0,2505837.75,nan,nan,
